Entity Name	Rhabdomyolyse	Dystrophies musculaires	Myopathies Congenital 	Myasthenias congénitale	Hyperthermie maligne	Final list_hg38 version
ACADVL	1					NM_000018.4
AGL	0					NM_000642.3
ANO5	1	1				NM_213599.3
CACNA1S	1		1		1	NM_000069.3
CAV3	1	1				NM_033337.3
CPT2	1					NM_000098.3
DMD	1	1				NM_004006.3
DYSF	1	1				NM_003494.4
ENO3	1					NM_053013.4
ETFA	1					NM_000126.4
ETFB	1					NM_001014763.1, NM_001985.3
ETFDH	1					NM_004453.4
FKRP	1	1				NM_024301.5
FKTN	1	1				NM_001079802.2
GAA	0	1				NM_000152.5
GBE1	0					NM_000158.4
GYG1	0					NM_004130.4
HADHA	1					NM_000182.5
HADHB	1					NM_000183.3
LAMP2	0	1				NM_002294.3
LDHA	1					NM_005566.4
LPIN1	1	0				NM_001261428.3, NM_145693.4
PFKM	1	1				NM_000289.6, NM_001166686.2
PGAM2	1					NM_000290.4
PGK1	1					NM_000291.4
PGM1	1					NM_002633.3
PHKA1	1	1				NM_002637.4
PYGM	1	1				NM_005609.4
RBCK1	0		1			NM_031229.4
RYR1	1	1	1		1	NM_000540.3
SIL1	1					NM_022464.5
BAG3		1				NM_004281.4
CAPN3		1				NM_000070.3
COL6A1		1	1			NM_001848.3
COL6A2		1	1			NM_001849.4
COL6A3		1	1			NM_004369.4
CRYAB		1				NM_001885.3
DAG1		1				NM_004393.6
DES		1				NM_001927.4
DNAJB6		1				NM_058246.4
DOK7		1	1	1		NM_173660.5
EMD		1				NM_000117.3
FHL1		1				NM_001449.5
FLNC		1				NM_001458.5
GMPPB		1		1		NM_013334.4
GNE		1				NM_001128227.3
HNRNPDL		1				NM_031372.4
ISPD/CRPPA		1				NM_001101426.4
LAMA2		1				NM_000426.4
LMNA		1	1			NM_170707.4
MTM1		1	1			NM_000252.3
MYH7		1	1			NM_000257.4
MYOT		1				NM_006790.3
ORAI1		1	1			NM_032790.3
PLEC		1		1		NM_000445.5, NM_201378.4
POMGNT1		1				NM_017739.4
POMGNT2		1				NM_032806.6
POMT1		1				NM_007171.4
POMT2		1				NM_013382.7
SELENON		1	1			NM_020451.3
SGCA		1				NM_000023.4
SGCB		1				NM_000232.5
SGCD		1				NM_000337.6
SGCG		1				NM_000231.3
STIM1		1	1			NM_003156.4
SYNE1		1				NM_182961.4
SYNE2		1				NM_182914.3
TCAP		1				NM_003673.4
TNPO3		1				NM_012470.4
TRAPPC11		1				NM_021942.6
TRIM32		1				NM_012210.4
TTN		1	1			NM_133378.4 
VCP		1				NM_007126.5
VMA21		1	1			NM_001017980.4
ACTA1			1			NM_001100.4
ACTN2			1			NM_001103.4
ADSSL1/ADSS1			1			NM_152328.5;NM_199165.2
BIN1			1			NM_139343.3
CCDC78			1			NM_001031737.3
CFL2			1			NM_021914.8
COL12A1			1			NM_004370.6
DNM2			1			NM_001005360.3
FKBP14			1			NM_017946.4
KBTBD13			1			NM_001101362.3
KLHL40			1			NM_152393.4
KLHL41			1			NM_006063.3
LMOD3			1			NM_198271.5
MAP3K20			1			NM_016653.3
MEGF10			1			NM_032446.3
MYBPC1			1			NM_002465.4
MYH2			1			NM_017534.6
MYMK			1			NM_001080483.3
MYO18B			1			NM_032608.7
MYPN			1			NM_032578.4
NEB			1			NM_001271208.2
PAX7			1			NM_002584.3
PYROXD1			1			NM_024854.5
SCN4A			1	1		NM_000334.4
SPEG			1			NM_005876.5
STAC3			1		1	NM_145064.3
TNNT1			1			NM_003283.6
TPM2			1			NM_003289.4
TPM3			1			NM_152263.4
TRIP4			1			NM_016213.5
AGRN				1		NM_198576.4
CHAT				1		NM_020549.5
CHRNA1				1		NM_000079.4
CHRNB1				1		NM_000747.3
CHRND				1		NM_000751.3
CHRNE				1		NM_000080.4
COL13A1				1		NM_001130103.2
COLQ				1		NM_005677.4
DPAGT1				1		NM_001382.4
GFPT1				1		NM_001244710.2
LRP4				1		NM_002334.4
MUSK				1		NM_005592.4
RAPSN				1		NM_005055.5
SLC18A3				1		NM_003055.3
SLC25A1				1		NM_005984.5
SLC5A7				1		NM_021815.5
SYT2				1		NM_177402.5
VAMP1				1		NM_014231.5
HSPB8						NM_014365.3
LDB3						NM_007078.3, NM_001080116.1, NM_001171610.2
MATR3						NM_199189.3
TIA1						NM_022173.4
B3GALNT2		1				NM_152490.5
B4GAT1		1				NM_006876.3
CHKB		1				NM_005198.5
INPP5K		1				NM_001135642.2, NM_016532.4
ITGA7		1				NM_002206.3
LARGE1		1				NM_004737.7
POMK		1				NM_032237.5
RXYLT1		1				NM_014254.3
PABPN1		1				NM_004643.4
MYH14						NM_001145809.2
TOR1AIP1		1				NM_001267578.2
PNPLA2			1			NM_020376.4
TMEM43		1				NM_024334.3
ATP2A1			1			NM_004320.6; NM_173201.5
CASQ1		1	1			NM_001231.5
DPM3		1				NM_018973.4
POGLUT1		1				NM_152305.3
BVES		1				NM_001199563.2
POPDC3		1				NM_022361.5
