symbol	panels	version
AAAS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AARS1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AARS2	MITN,POLYM	MITN_v1,POLYM_v1
AASS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ABAT	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v2
ABCA1	POLYM	POLYM_v1
ABCA2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ABCB11	POLYM	POLYM_v1
ABCB4	POLYM	POLYM_v1
ABCB7	MITN,POLYM	MITN_v1,POLYM_v1
ABCC6	POLYM	POLYM_v1
ABCC9	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ABCD1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ABCD4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ABCG5	POLYM	POLYM_v1
ABCG8	POLYM	POLYM_v1
ABHD12	POLYM	POLYM_v1
ABHD16A	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ABHD5	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ABL1	POLYM	POLYM_v1
ACAD8	POLYM	POLYM_v1
ACAD9	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACADM	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACADS	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACADSB	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ACADVL	MMG,POLYM,RGDI+,RHAB	MMG_v1,POLYM_v1,RGDI+_v1,RHAB_v1
ACAN	POLYM	POLYM_v1
ACAT1	POLYM	POLYM_v1
ACE	POLYM	POLYM_v1
ACER3	RGDI+	RGDI+_v1
ACO2	MITN,POLYM,RGDI,RGDI+	MITN_v1,POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACOX1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACP5	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ACSF3	POLYM	POLYM_v1
ACSL4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACTA1	MMG,MYOC	MMG_v1,MYOC_v1
ACTA2	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ACTB	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACTC1	POLYM	POLYM_v1
ACTG1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACTG2	POLYM	POLYM_v1
ACTL6A	RGDI,RGDI+	RGDI+_v1,RGDI_v1,RGDI_v2
ACTL6B	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ACTN2	MMG,MYOC	MMG_v1,MYOC_v1
ACVR1	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ACVR2B	POLYM	POLYM_v1
ACY1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ADA	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ADAM22	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ADAMTS10	POLYM,RGDI+	POLYM_v1,RGDI+_v1
ADAMTS17	POLYM	POLYM_v1
ADAMTSL2	POLYM	POLYM_v1
ADAR	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ADARB1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ADAT3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ADD1	RGDI+	RGDI+_v1
ADD3	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v2
ADGRG1	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ADGRG6	POLYM	POLYM_v1
ADK	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ADNP	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ADPRS	RGDI+	RGDI+_v1
ADSL	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
ADSS1	MMG,MYOC	MMG_v1,MYOC_v1
AFF2	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AFF3	RGDI+	RGDI+_v1
AFF4	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AFG3L2	MITN,POLYM,RGDI	MITN_v1,POLYM_v1,RGDI_v1
AGA	POLYM,RGDI,RGDI+	POLYM_v1,RGDI+_v1,RGDI_v1,RGDI_v2
AGAP1	RGDI+	RGDI+_v1
AGK	MITN,POLYM	MITN_v1,POLYM_v1
AGL	MMG,POLYM	MMG_v1,POLYM_v1
AGMO	RGDI+	RGDI+_v1
AGO1	RGDI,RGDI+	RGDI+_v1,RGDI_v2
